Timestamp,Temperature,Humidity,Flood Level,Air Quality,Power Status,Day/Night,Light Status
2025-03-18T14:20:39Z,32,61,0,122,Good,1,Day
2025-03-18T14:20:56Z,32,61,0,122,Good,1,Day
2025-03-18T14:21:15Z,32,61,0,122,Good,1,Day
2025-03-18T14:21:32Z,32,61,0,122,Good,1,Day
2025-03-18T14:21:50Z,32,61,0,122,Good,1,Day
2025-03-18T14:22:08Z,32,61,0,122,Good,1,Day
2025-03-18T14:22:25Z,32,61,0,122,Good,1,Day
2025-03-18T14:22:43Z,32,61,0,122,Good,Day,Normal

2025-03-18T14:23:02Z,32,61,0,122,Disconnected,Day,Normal

2025-03-18T14:23:21Z,32,61,0,122,Disconnected,Night,Normal

2025-03-18T14:23:39Z,32,61,0,122,Disconnected,Night,Normal

2025-03-18T14:23:57Z,32,61,0,122,Disconnected,Night,Normal

2025-03-18T14:24:14Z,32,61,0,121,Disconnected,Night,Fault

2025-03-18T14:24:32Z,32,61,0,126,Disconnected,Night,Fault

2025-03-18T14:24:50Z,32,61,0,129,Disconnected,Night,Fault

2025-03-18T14:25:07Z,32,61,0,129,Good,Night,Fault

2025-03-18T14:25:25Z,32,61,0,132,Good,Night,Fault

2025-03-18T14:25:43Z,32,61,0,133,Good,Night,Fault

2025-03-18T14:26:00Z,32,61,71,133,Good,Night,Fault

2025-03-18T14:26:18Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:26:36Z,32,62,0,138,Good,Night,Fault

2025-03-18T14:26:54Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:27:16Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:27:34Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:27:52Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:28:10Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:28:28Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:28:46Z,32,61,0,134,Good,Night,Fault

2025-03-18T14:29:05Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:29:23Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:29:40Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:29:58Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:30:16Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:30:35Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:30:53Z,32,61,0,135,Good,Night,Fault

2025-03-18T14:31:11Z,32,62,0,135,Good,Night,Fault

2025-03-18T14:31:29Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:31:48Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:32:05Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:32:23Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:32:41Z,32,61,0,136,Good,Night,Fault

2025-03-18T14:33:00Z,32,62,0,136,Good,Night,Fault

2025-03-18T14:33:18Z,32,62,25,135,Good,Night,Fault

2025-03-18T14:33:37Z,32,62,8,136,Good,Night,Fault

2025-03-18T14:33:55Z,32,62,7,137,Good,Night,Fault

2025-03-18T14:34:14Z,32,62,8,93,Good,Night,Fault

2025-03-18T14:34:31Z,32,62,23,234,Good,Night,Fault

2025-03-18T14:34:49Z,32,62,6,64,Good,Night,Fault

2025-03-18T14:35:07Z,32,62,2,58,Good,Night,Fault

2025-03-18T14:35:25Z,32,62,4,71,Good,Night,Fault

2025-03-18T14:35:43Z,32,62,4,71,Good,Night,Fault

2025-03-18T14:36:01Z,32,62,50,81,Good,Night,Fault

2025-03-18T14:36:19Z,32,62,56,126,Good,Night,Fault

2025-03-18T14:36:36Z,32,62,0,39,Good,Night,Fault

2025-03-19T09:40:50Z,30,36,0,96,Good,Day,Normal

2025-03-19T09:41:07Z,30,36,0,96,Good,Day,Normal

2025-03-19T09:41:24Z,30,36,0,96,Good,Day,Normal

2025-03-19T09:41:41Z,30,36,0,96,Good,Day,Normal

2025-03-19T09:41:58Z,30,36,0,96,Good,Day,Normal

2025-03-19T09:42:16Z,30,35,0,96,Good,Day,Normal

